GEN_TYPE,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF
Combustion Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,47.0,0.0,0,0,0,0,0,0,0.78333333,7.8333333,23.5,0,0
Combustion Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,49.0,0.0,0,0,0,0,0,0,0.81666667,8.1666667,24.5,0,0
Steam Turbine,56,0.0,0.0,9999,-9999,1.0,100,1,731.0,80.4,0,0,0,0,0,0,5.3916667,53.916667,161.75,0,0
Combined Cycle,45,0.0,0.0,9999,-9999,1.0,100,1,43.0,15.0,0,0,0,0,0,0,0.375,3.75,11.25,0,0
Combustion Turbine,80,38.220752,0.0,9999,-9999,1.0,100,1,46.0,30.0,0,0,0,0,0,0,0.40833333,4.0833333,12.25,0,0
Combined Cycle,51,0.0,0.0,9999,-9999,1.0,100,1,102.0,14.0,0,0,0,0,0,0,0.68333333,6.8333333,20.5,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,43.0,18.5,0,0,0,0,0,0,0.53333333,5.3333333,16.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,42.0,15.0,0,0,0,0,0,0,0.55833333,5.5833333,16.75,0,0
Combustion Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,102.0,9.0,0,0,0,0,0,0,1.2583333,12.583333,37.75,0,0
Combustion Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,94.0,7.8,0,0,0,0,0,0,1.35,13.5,40.5,0,0
Combustion Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,94.0,4.0,0,0,0,0,0,0,1.3333333,13.333333,40.0,0,0
Combustion Turbine,79,0.0,0.0,9999,-9999,1.0,100,1,65.0,3.0,0,0,0,0,0,0,0.80833333,8.0833333,24.25,0,0
